Block,Max_Latitude,Max_Longitude,Min_Latitude,Min_Longitude
0,33.735887500000004,-118.6682625,33.6927,-118.7051
1,33.735887500000004,-118.63142500000001,33.6927,-118.6682625
2,33.735887500000004,-118.5945875,33.6927,-118.63142500000001
3,33.735887500000004,-118.55775,33.6927,-118.5945875
4,33.735887500000004,-118.52091250000001,33.6927,-118.55775
5,33.735887500000004,-118.484075,33.6927,-118.52091250000001
6,33.735887500000004,-118.4472375,33.6927,-118.484075
7,33.735887500000004,-118.41040000000001,33.6927,-118.4472375
8,33.735887500000004,-118.3735625,33.6927,-118.41040000000001
9,33.735887500000004,-118.336725,33.6927,-118.3735625
10,33.735887500000004,-118.2998875,33.6927,-118.336725
11,33.735887500000004,-118.26305,33.6927,-118.2998875
12,33.735887500000004,-118.2262125,33.6927,-118.26305
13,33.735887500000004,-118.189375,33.6927,-118.2262125
14,33.735887500000004,-118.15253750000001,33.6927,-118.189375
15,33.735887500000004,-118.1157,33.6927,-118.15253750000001
16,33.779075,-118.6682625,33.735887500000004,-118.7051
17,33.779075,-118.63142500000001,33.735887500000004,-118.6682625
18,33.779075,-118.5945875,33.735887500000004,-118.63142500000001
19,33.779075,-118.55775,33.735887500000004,-118.5945875
20,33.779075,-118.52091250000001,33.735887500000004,-118.55775
21,33.779075,-118.484075,33.735887500000004,-118.52091250000001
22,33.779075,-118.4472375,33.735887500000004,-118.484075
23,33.779075,-118.41040000000001,33.735887500000004,-118.4472375
24,33.779075,-118.3735625,33.735887500000004,-118.41040000000001
25,33.779075,-118.336725,33.735887500000004,-118.3735625
26,33.779075,-118.2998875,33.735887500000004,-118.336725
27,33.779075,-118.26305,33.735887500000004,-118.2998875
28,33.779075,-118.2262125,33.735887500000004,-118.26305
29,33.779075,-118.189375,33.735887500000004,-118.2262125
30,33.779075,-118.15253750000001,33.735887500000004,-118.189375
31,33.779075,-118.1157,33.735887500000004,-118.15253750000001
32,33.8222625,-118.6682625,33.779075,-118.7051
33,33.8222625,-118.63142500000001,33.779075,-118.6682625
34,33.8222625,-118.5945875,33.779075,-118.63142500000001
35,33.8222625,-118.55775,33.779075,-118.5945875
36,33.8222625,-118.52091250000001,33.779075,-118.55775
37,33.8222625,-118.484075,33.779075,-118.52091250000001
38,33.8222625,-118.4472375,33.779075,-118.484075
39,33.8222625,-118.41040000000001,33.779075,-118.4472375
40,33.8222625,-118.3735625,33.779075,-118.41040000000001
41,33.8222625,-118.336725,33.779075,-118.3735625
42,33.8222625,-118.2998875,33.779075,-118.336725
43,33.8222625,-118.26305,33.779075,-118.2998875
44,33.8222625,-118.2262125,33.779075,-118.26305
45,33.8222625,-118.189375,33.779075,-118.2262125
46,33.8222625,-118.15253750000001,33.779075,-118.189375
47,33.8222625,-118.1157,33.779075,-118.15253750000001
48,33.86545,-118.6682625,33.8222625,-118.7051
49,33.86545,-118.63142500000001,33.8222625,-118.6682625
50,33.86545,-118.5945875,33.8222625,-118.63142500000001
51,33.86545,-118.55775,33.8222625,-118.5945875
52,33.86545,-118.52091250000001,33.8222625,-118.55775
53,33.86545,-118.484075,33.8222625,-118.52091250000001
54,33.86545,-118.4472375,33.8222625,-118.484075
55,33.86545,-118.41040000000001,33.8222625,-118.4472375
56,33.86545,-118.3735625,33.8222625,-118.41040000000001
57,33.86545,-118.336725,33.8222625,-118.3735625
58,33.86545,-118.2998875,33.8222625,-118.336725
59,33.86545,-118.26305,33.8222625,-118.2998875
60,33.86545,-118.2262125,33.8222625,-118.26305
61,33.86545,-118.189375,33.8222625,-118.2262125
62,33.86545,-118.15253750000001,33.8222625,-118.189375
63,33.86545,-118.1157,33.8222625,-118.15253750000001
64,33.9086375,-118.6682625,33.86545,-118.7051
65,33.9086375,-118.63142500000001,33.86545,-118.6682625
66,33.9086375,-118.5945875,33.86545,-118.63142500000001
67,33.9086375,-118.55775,33.86545,-118.5945875
68,33.9086375,-118.52091250000001,33.86545,-118.55775
69,33.9086375,-118.484075,33.86545,-118.52091250000001
70,33.9086375,-118.4472375,33.86545,-118.484075
71,33.9086375,-118.41040000000001,33.86545,-118.4472375
72,33.9086375,-118.3735625,33.86545,-118.41040000000001
73,33.9086375,-118.336725,33.86545,-118.3735625
74,33.9086375,-118.2998875,33.86545,-118.336725
75,33.9086375,-118.26305,33.86545,-118.2998875
76,33.9086375,-118.2262125,33.86545,-118.26305
77,33.9086375,-118.189375,33.86545,-118.2262125
78,33.9086375,-118.15253750000001,33.86545,-118.189375
79,33.9086375,-118.1157,33.86545,-118.15253750000001
80,33.951825,-118.6682625,33.9086375,-118.7051
81,33.951825,-118.63142500000001,33.9086375,-118.6682625
82,33.951825,-118.5945875,33.9086375,-118.63142500000001
83,33.951825,-118.55775,33.9086375,-118.5945875
84,33.951825,-118.52091250000001,33.9086375,-118.55775
85,33.951825,-118.484075,33.9086375,-118.52091250000001
86,33.951825,-118.4472375,33.9086375,-118.484075
87,33.951825,-118.41040000000001,33.9086375,-118.4472375
88,33.951825,-118.3735625,33.9086375,-118.41040000000001
89,33.951825,-118.336725,33.9086375,-118.3735625
90,33.951825,-118.2998875,33.9086375,-118.336725
